career,annual_average_income,job_demands,job_description,required_skills,required_interests,personality_fit,technical_skills,analytical_skills,communication_skills,creativity,adaptability,education_level,interest_in_tech,interest_in_design,interest_in_management,openness,conscientiousness,extraversion,agreeableness,neuroticism
Philanthropy Advisor,700000,"Donor relations, charity impact","Guide donors on impactful giving strategies","Nonprofit Knowledge;Finance;Networking","Social;Business","Moderate agreeableness, moderate conscientiousness",0.40,0.60,0.80,0.50,0.70,0.60,0.50,0.30,0.65,0.70,0.70,0.65,0.60,0.40
CSR Program Manager,850000,"Community outreach, brand alignment","Develop corporate social responsibility initiatives","Project Mgmt;Stakeholder Relations;Budgeting","Business;Social","Moderate extraversion, moderate agreeableness",0.50,0.65,0.80,0.60,0.75,0.60,0.60,0.30,0.70,0.70,0.70,0.65,0.65,0.40
EduTech Sales Trainer,600000,"Training staff, meeting targets","Teach sales teams to sell educational products","Sales Techniques;Teaching;LMS","Education;Business","Moderate extraversion, moderate openness",0.55,0.60,0.85,0.70,0.70,0.60,0.55,0.45,0.60,0.70,0.70,0.65,0.60,0.40
Solar Architect,950000,"Design solar-integrated buildings","Incorporate solar panels seamlessly into structures","AutoCAD;Solar Layout;Structural","Architecture;Energy","Moderate openness, moderate analytical",0.80,0.85,0.60,0.70,0.75,0.80,0.85,0.50,0.45,0.70,0.78,0.60,0.60,0.35
Virtual Team Facilitator,550000,"Remote collaboration, conflict resolution","Help distributed teams work effectively","Communication Tools;Team Building;Scheduling","Business;Remote Work","Moderate extraversion, moderate agreeableness",0.40,0.55,0.85,0.70,0.80,0.60,0.35,0.60,0.80,0.70,0.70,0.65,0.65,0.45
NFT Art Curator,700000,"Blockchain knowledge, curation","Curate digital art for NFT platforms","Art Critique;Crypto;Marketing","Arts;Technology","High creativity, moderate openness",0.60,0.60,0.65,0.90,0.70,0.60,0.55,0.85,0.30,0.80,0.70,0.55,0.60,0.40
Drone Racing Organizer,600000,"Event hosting, sponsor deals","Set up drone racing tournaments and leagues","Event Mgmt;Drone Tech;Sponsorship","Sports;Technology","Moderate extraversion, moderate conscientiousness",0.50,0.60,0.70,0.55,0.70,0.50,0.40,0.25,0.70,0.65,0.70,0.60,0.60,0.45
Blockchain Auditor,1100000,"Smart contract audits, security checks","Review blockchain code for vulnerabilities","Solidity;Security;Tokenomics","Technology;Finance","Moderate openness, high conscientiousness",0.85,0.90,0.65,0.55,0.80,0.80,0.90,0.40,0.45,0.70,0.80,0.60,0.65,0.35
Robotic Process Automation Consultant,1150000,"Enterprise process mapping","Implement RPA solutions for repetitive tasks","UIPath;Business Analysis;Workflow","Technology;Business","Moderate analytical, moderate openness",0.85,0.90,0.60,0.50,0.80,0.80,0.88,0.40,0.45,0.70,0.78,0.55,0.60,0.35
Corporate Well-being Strategist,750000,"HR policies, mental health focus","Design well-being programs for employees","Counseling;HR;Program Design","Business;Healthcare","High agreeableness, moderate openness",0.35,0.60,0.80,0.65,0.70,0.60,0.50,0.30,0.50,0.75,0.70,0.70,0.65,0.40
Remote Teaching Consultant,600000,"E-learning, training teachers","Train educators to teach effectively online","Pedagogy;Tech Tools;Communication","Education;Technology","Moderate agreeableness, moderate openness",0.50,0.60,0.85,0.70,0.70,0.60,0.65,0.70,0.45,0.65,0.75,0.60,0.60,0.40
Hydrogen Fuel Engineer,1400000,"R&D on fuel cells, safety protocols","Develop hydrogen-based energy solutions","Fuel Cell Tech;Chemistry;Renewables","Energy;Research","High analytical, moderate openness",0.92,0.94,0.55,0.60,0.80,1.0,0.90,0.40,0.40,0.75,0.85,0.50,0.55,0.35
Bioplastic Researcher,850000,"Lab-based polymer testing","Create eco-friendly plastic alternatives","Polymer Science;Lab Analysis;Sustainability","Manufacturing;Environment","Moderate openness, moderate conscientiousness",0.75,0.80,0.50,0.60,0.75,0.80,0.70,0.30,0.40,0.65,0.70,0.60,0.60,0.40
Waste-to-Energy Engineer,900000,"Plant operations, feedstock sourcing","Convert waste into usable energy","Chemical Engg;Thermodynamics;Process Control","Environment;Manufacturing","Moderate analytical, moderate openness",0.80,0.85,0.50,0.55,0.75,1.0,0.80,0.30,0.35,0.70,0.75,0.55,0.55,0.35
5G Network Planner,1300000,"Telecom infra, coverage mapping","Design and optimize 5G rollouts","RF Engineering;Spectrum;Project Mgmt","Technology;Telecom","High analytical, moderate conscientiousness",0.92,0.90,0.55,0.50,0.80,1.0,0.90,0.45,0.40,0.70,0.80,0.50,0.60,0.35
Electric Vehicle Fleet Manager,800000,"Maintenance scheduling, charging oversight","Manage EV fleets, ensure operational efficiency","Logistics;Vehicle Maintenance;Data Analysis","Transport;Technology","Moderate extraversion, moderate conscientiousness",0.65,0.70,0.70,0.40,0.70,0.60,0.60,0.30,0.70,0.70,0.70,0.60,0.60,0.45
Carbon Footprint Analyst,600000,"Corporate or individual carbon audits","Calculate and recommend ways to reduce emissions","Data Analysis;Environmental Policy;Reporting","Environment;Business","Moderate openness, moderate conscientiousness",0.55,0.70,0.60,0.50,0.70,0.80,0.70,0.30,0.40,0.65,0.70,0.60,0.60,0.40
Citizen Data Scientist,500000,"Part-time data solutions, community projects","Use data to solve local issues or small business problems","Excel;Open Data;Visualization","Community;Technology","Moderate openness, moderate agreeableness",0.40,0.55,0.70,0.50,0.65,0.60,0.55,0.30,0.35,0.60,0.65,0.60,0.55,0.40
Farm-to-Table Coordinator,550000,"Supply chain, local produce sourcing","Connect local farms with restaurants or stores","Logistics;Negotiation;Food Knowledge","Agriculture;Business","Moderate extraversion, moderate conscientiousness",0.45,0.50,0.75,0.50,0.70,0.60,0.50,0.30,0.55,0.65,0.70,0.60,0.60,0.45
Aerial Photographer,650000,"Drone flight, creative composition","Capture aerial images for real estate, ads, surveys","Drone Operation;Photography;Editing","Arts;Technology","Moderate creativity, moderate conscientiousness",0.50,0.60,0.70,0.80,0.70,0.60,0.55,0.85,0.35,0.80,0.70,0.55,0.60,0.40
Hyperloop Engineer,1500000,"High-speed transit, vacuum tubes","Design and optimize hyperloop transport systems","Mechanical;Maglev;Systems Modeling","Technology;Transport","High analytical, moderate openness",0.94,0.95,0.50,0.60,0.80,1.0,0.94,0.45,0.40,0.75,0.85,0.50,0.55,0.35
Drone Filmmaker,800000,"Cinematography, aerial shots","Create drone-based video content for films and ads","Drone Operation;Camera Work;Editing","Media;Technology","High creativity, moderate openness",0.60,0.65,0.70,0.90,0.75,0.60,0.55,0.90,0.40,0.85,0.75,0.60,0.65,0.40
Interactive Installation Artist,700000,"Art shows, tech-based exhibits","Produce immersive, interactive art installations","Coding;Electronics;Artistry","Arts;Technology","High creativity, moderate agreeableness",0.55,0.60,0.60,0.95,0.75,0.60,0.50,0.85,0.35,0.80,0.70,0.55,0.60,0.40
AI-Generated Content Editor,750000,"Review machine outputs, refine writing","Curate and polish AI-produced articles or scripts","Editing;ML Tools;Journalism","Media;Technology","Moderate openness, moderate conscientiousness",0.70,0.80,0.85,0.70,0.75,0.60,0.70,0.60,0.50,0.70,0.75,0.60,0.65,0.40
Micro-housing Architect,800000,"Space-saving designs, sustainability","Plan compact living solutions for urban areas","Architecture;CAD;Ergonomics","Construction;Environment","Moderate openness, moderate analytical",0.75,0.80,0.60,0.70,0.80,0.80,0.75,0.50,0.45,0.70,0.78,0.60,0.65,0.35
Cyber Psychological Profiler,1000000,"Online behavior analysis, digital forensics","Assess individuals' mental states from digital footprints","Psychology;OSINT;Pattern Recognition","Cybersecurity;Healthcare","Moderate openness, high analytical",0.85,0.92,0.70,0.60,0.80,0.80,0.90,0.40,0.45,0.70,0.85,0.60,0.65,0.40
Space Weather Forecaster,900000,"Solar flares, geomagnetic storms","Predict space weather and its impact on satellites","Astrophysics;Monitoring;Modeling","Research;Aerospace","High openness, moderate conscientiousness",0.70,0.85,0.60,0.60,0.70,1.0,0.70,0.30,0.35,0.75,0.80,0.55,0.60,0.40

